Tenant,Event,Time(EST),Store Type,User Name
hobbiesdepot,Order Import Started, 9 Jun 2017 10:24:45 AM,,hobbiesdepot
hobbiesdepot,Order Import Started, 9 Jun 2017 10:50:08 AM,,hobbiesdepot
hobbiesdepot,Order Import Started, 9 Jun 2017 11:26:30 AM,,hobbiesdepot
hobbiesdepot,Order Import Started, 9 Jun 2017 13:13:18 PM,,hobbiesdepot
hobbiesdepot,Order Import Started, 9 Jun 2017 15:10:36 PM,Shipstation API 2,hobbiesdepot
toybuilderlabs,Order Import Canceled, 5 Jun 2017 14:18:00 PM,Shipstation API 2,toybuilderlabs
toybuilderlabs,Order Import Canceled, 5 Jun 2017 14:18:02 PM,Shipstation API 2,toybuilderlabs
toybuilderlabs,Order Import Canceled, 5 Jun 2017 14:18:20 PM,,toybuilderlabs
toybuilderlabs,Order Import Started, 5 Jun 2017 14:18:23 PM,,toybuilderlabs
toybuilderlabs,Order Import Started, 8 Jun 2017 18:35:10 PM,,toybuilderlabs
toybuilderlabs,Order Import Started,10 Jun 2017 03:14:53 AM,,toybuilderlabs
dessusa,Order Import Started, 5 Jun 2017 16:45:59 PM,,dess-usa
dessusa,Order Import Started, 5 Jun 2017 16:54:28 PM,,dess-usa
dessusa,Order Import Started, 5 Jun 2017 17:35:24 PM,,dess-usa
dessusa,Order Import Started, 5 Jun 2017 17:44:05 PM,,dess-usa
dessusa,Order Import Started, 5 Jun 2017 17:55:14 PM,,dess-usa
dessusa,Order Import Started, 5 Jun 2017 17:56:24 PM,,dess-usa
dessusa,Order Import Started, 5 Jun 2017 18:07:08 PM,,dess-usa
dessusa,Order Import Started, 5 Jun 2017 18:30:58 PM,,dess-usa
dessusa,Order Import Started, 5 Jun 2017 18:38:48 PM,,dess-usa
dessusa,Order Import Started, 6 Jun 2017 16:02:42 PM,,dess-usa
dessusa,Order Import Started, 6 Jun 2017 16:37:16 PM,,dess-usa
dessusa,Order Import Started, 6 Jun 2017 18:01:38 PM,,dess-usa
dessusa,Order Import Started, 6 Jun 2017 18:24:25 PM,,dess-usa
dessusa,Order Import Started, 6 Jun 2017 18:27:15 PM,,dess-usa
dessusa,Order Import Started, 7 Jun 2017 14:13:50 PM,,dess-usa
dessusa,Order Import Started, 7 Jun 2017 14:19:25 PM,,dess-usa
